tinyId,valueMeaningCode,valueMeaningDefinition
8ArwtuWN8JZ,3,NA
BGOxD4kMek3,5,NA
YOARf2zQyZt,5,NA
E1KudZxWNJ7,5,NA
2NkH0Yk_Ddj,5,NA
8WTM0gRwOzj,3,NA
9vtAg9_1zAU,3,NA
jVEVnQGspYK,6,NA
4pjhjr5eGQJ,3,NA
MzuoMAOe2RY,6,NA
ffO7mvhE9Nh,3,NA
AMKdkcEoFt0,6,NA
T3sCrDFe_89,3,NA
QybPA_TTU,1,NA
atX27EKxBl,1,NA
0Oqfxq01v1k,2,NA
KyNAFvbF4y6,2,NA
GMdD134Y6AH,3,NA
bVFgjetsKWq,3,NA
mJ2evL7xBCf,6,NA
QJOgv8QxHRf,6,NA
7yqgvUmxBAz,6,NA
m1y_wI7lS0G,2,NA
mkRlvUQxBAf,2,NA
Qkx_PUQgSAz,2,NA
XJ6lDIQlrCz,2,NA
AgcagpTj2FB,4,NA
G2q0fa0s8En,10,NA
h7nB9s8KfvV,5,NA
emRv7SeaxE5,3,NA
wObZCDCnd0x,4,NA
mRvDsrJwdvp,4,NA
Qc76XO7yN4A,3,NA
Xyzgqbsp6I,3,NA
mJbe9Wip6U,2,NA
XJlxqWiaTL,3,NA
mJ7Weu9R5Q,5,NA
NpT2aJzMpt,6,NA
YvUoShaBTSD,3,NA
KtEyZQ90x6p,5,NA
CRjK6u60Zcm,5,NA
1rcZgo6dWx7,5,NA
fqoTCUzT5P4,5,NA
j0RBYYP9jjU,5,NA
CYJP6EMwU1N,2,NA
cZ67WtSN49j,5,NA
ks_QZ18313F,5,NA
YAQWZonR5Mz,2,NA
gJqk3AK4WTq,5,NA
AAQ6rX5XkE5,2,NA
pvp9A0eAAPO,5,NA
HnoNuF5mmvG,5,NA
DusjYynJEes,5,NA
ESb83OpN4Rd,5,NA
WFjuw5yKyee,5,NA
1o71k_08C7A,4,NA
_EnjRz05FRd,8,NA
ksMUAHQts7q,5,NA
grNPs2zOC,4,NA
XkGHJj9pTI,9,NA
71WgtQgr0G,2,NA
m17Aedq0c7,2,NA
7J80ldcAqX,2,NA
qlgffGORjd,2,NA
QyWxoZOcA97,4,NA
myv0x_cRqQ,3,NA
QyIibO9Rc7,2,NA
mJ_Wgu9CcQ,2,NA
Qy_3bd9C57,2,NA
71c2Zuq09X,2,NA
XJn2_O9C9Q,2,NA
mJll3__9C97,8,NA
7kyehbOc05X,7,NA
7kAnb_5Cqm,2,NA
7JXgsZu5C9Q,3,NA
mJHAld5A9Q,3,NA
QJOAlO509X,2,NA
XyNRgdcA57,3,NA
Xkb3ZO50c7,9,NA
mkggoZ_qC97,7,NA
mkb9Jsc6aL,2,NA
71qys9TT8,2,NA
X1XgjcaTU,3,NA
QkoJs966L,2,NA
Yx0xHzxeYG,2,NA
kbzWwHtxs,2,NA
tF9vHmzMN_8,3,NA
e7YwcdJSETU,2,NA
z_RYwFqRmn,11,NA
ljLKJyw8g,2,NA
tknwYg3vCma,3,NA
4Yp8sb9Kp3T,6,NA
TL3Spc8g5,5,NA
tCbOXKIB97,9,NA
KjsFUpO9_m3,3,NA
HXVHcdJ5uCr,5,NA
NET_eGSd9w,5,NA
Do2g1fxdsvz,7,NA
mJR7xdqR97,2,NA
Xk6Qx_509m,2,NA
m1gqzwt6T8,2,NA
Q1M2LFTTI,3,NA
KvEYCRbSH9,2,NA
w_sRAGjQ5Dz,3,NA
sc0eU8sXd7O,3,NA
_5Dt4vRo7aZ,4,NA
9XDXC4Nv__9,6,NA
vAcKaV1KV,4,NA
XkbxQxOc097,2,NA
Eq7e8e6VkwD,3,NA
Qkh8bs6pU,2,NA
UGpV9wQhUFE,4,NA
XJbT60dp6I,5,NA
m1Exi__5Cqm,4,NA
_48Ap_9a3w,8,NA
biwJkPlAMf,3,NA
mySydQxrAz,2,NA
QJVk_7lBCM,2,NA
VCuYk7t6p,3,NA
SQft3ARSSuX,5,NA
Ty6IuJdWrp,5,NA
QPoUaTenY,5,NA
5zELbjfmmP,5,NA
XTDs6DBYBR,5,NA
qH0rGOKP7E,5,NA
XwGfHQCGXPG,4,NA
AF4fQRapAcU,5,NA
EVe6ttBH9p7,6,NA
JgLOcN_vFr,4,NA
QkLA8KpTL,6,NA
QktLEmqsHC,2,NA
mkBW8wXgHAz,2,NA
roDkOfEzX0y,3,NA
9wW5iaHoK,2,NA
XJwQxOq05m,2,NA
XkGR1_c05X,2,NA
bU_hVQLH_,3,NA
3st4zq13Q,3,NA
sc2bhmOUZ,3,NA
A5alVVn5w,3,NA
cwGGzjbTv,3,NA
8Z5wVK7ol,3,NA
wUye_n5gt2H,3,NA
myxHuN9iBA,2,NA
m1cGPHlsxqZ,3,NA
myYMvrgsecZ,2,NA
XyDugJvW_2de,3,NA
QJ1xUPXlH0z,2,NA
X1xJDbip6L,2,NA
QJF_Aw7xSCM,4,NA
K5kuwzef_VT,2,NA
Xyu_0w7lS0G,2,NA
jCmEJQgzWXp,9,NA
gGrdjTJbv,5,NA
SczuAy5CS,2,NA
71UxwOpT8,5,NA
m1x0MPtT6L,3,NA
71rkcFpT8,2,NA
Q1KSUN9sBR,3,NA
7yxCkfj6TL,2,NA
7JmgX8XlBRG,4,NA
71feXImerRM,4,NA
71Eg78QxrCG,4,NA
X1SgX8QxSCM,3,NA
mkWlQI7xS0z,4,NA
QJbSliKT6I,11,NA
0hr_u8r4O2Y,5,NA
WoGHRMKDkeE,5,NA
JOjGpuptVcE,5,NA
nVxQVFQXm4w,5,NA
cAa7FXw0zZE,5,NA
YEQF2WmB2AA,5,NA
Nxo_7XNjpHf,5,NA
a8JPfoHmvow,5,NA
M_aRKDdAdXg,5,NA
be2hbk4yZP7,5,NA
uyq1MCo0Hu8,5,NA
E9nVD20FhEC,5,NA
QHeyuOwJNBD,5,NA
Uyocn36AdNE,5,NA
E9kVe4aAfqO,5,NA
y05XbR8EwGd,5,NA
CbYAFEdpvBU,3,NA
BBak9GyKHh3,5,NA
t10B1GJnppt,2,NA
GYqwztqWRDM,3,NA
s1Ac2eoweYS,5,NA
cuBj0FAdyHK,3,NA
cgWgD75f4xA,4,NA
mShkJMVxPaw,5,NA
U1mmyPsn3zp,9,NA
0WXwdRJDjG0,3,NA
gcv3gB6rAvm,4,NA
GM8RBrbqb2C,3,NA
sVdx52gaO0O,3,NA
3411kBnnU8g,3,NA
yxrF3xKsTdr,3,NA
7JCug8VqjBC,4,NA
X1NAuV5sBA,2,NA
Q1QVlZN9iBR,16,NA
Xyg_xL4qjH0,4,NA
Q1NWQEqiSA,18,NA
m1mZQN9iBR,7,NA
7yCSlGV5orA,13,NA
XJ6OeW45orA,9,NA
7kuXE9irA,7,NA
QJeexZVcsrA,2,NA
7J1FeUVqjrC,7,NA
QylYgL49oHA,7,NA
7kztlU49jr0,20,NA
QJ8mxGV5oS0,7,NA
QkAc7NcsSR,2,NA
XkWKxUV5sHC,4,NA
71N6CdTaL,5,NA
ket9Nt7wmD,2,NA
NnMpg8riYO,2,NA
7yNJoca6I,8,NA
l7tvkKtBk,2,NA
iRSydgQvS,6,NA
_dyMMxdAo,8,NA
23hGdGBS75x,2,NA
r_K1_wmPe72,10,NA
uXVsteqnhyV,5,NA
shcG0vnq4Wm,4,NA
u2EgYeZwACt,2,NA
448cB5ymep8,3,NA
j7usGw9utRU,2,NA
lbnLUbgR4O,3,NA
5mm1DP16g,3,NA
K4D1CYb7B05,3,NA
JR7EWPmtG9p,8,NA
8S6cxNu46jv,2,NA
8EtghJB5A,2,NA
R6y7eM61Ta_,3,NA
Ba7mErW7fXM,5,NA
Nhixn82Y_B,5,NA
Qd6zDrg52_J,5,NA
ch10ACJkrra,5,NA
X1_YWEcoB0,3,NA
8THbPy3coG8,4,NA
mr_nBuhZf,2,NA
mJTXWNqjHC,2,NA
1yJaYzVtsV1,9,NA
XyR7bN5iH0,2,NA
IZTadZPj1j,3,NA
U0wR73YV58p,2,NA
21PPBvzYJy,3,NA
PFGFTqo9R2C,2,NA
7JL_4QcoBC,3,NA
Cw2DuwI_5,2,NA
hPBPMssnyo,3,NA
dnavZnE3g_6,2,NA
iB3s5ZuAa,3,NA
sQhN1ad1o,3,NA
QJux5l_9A9X,4,NA
UAus1u0PwzA,3,NA
7J_q_uq0qQ,8,NA
N2GJZp21808,12,NA
QJGxxx_q0cm,4,NA
52WeJM3FSST,249,NA
QyvZRuQxrRG,2,NA
eXWzImUk7,2,NA
Xx4XeoLIJ,2,NA
0_ZktSw0PUC,3,NA
QKXyXXVVQyD,9,NA
7A2Wpfhpj5T,52,NA
mkjNG4cirC,3,NA
m6VapDZu0cD,6,NA
QJ5klb45irA,2,NA
DmdfRvS3o,5,NA
5aohXV4_wwm,4,NA
C_6Hge9g_F9,5,NA
yB2PV6mtccR,1,NA
90zfuoeTN4E,18,NA
DD6ePhfKwom,18,NA
qyOx9zRPJvF,4,NA
bvFouz6xFc0,3,NA
y0sdwfk92pA,6,NA
Gqvv7MEQzvx,5,NA
OWT8z3n1XxC,5,NA
jkvcCx7t3ej,2,NA
V9XBmvzZEhv,2,NA
MVp32Ea071e,7,NA
VA7zXvNVAAS,3,NA
XptZUwmd8cM,8,NA
QyZtMo5TpL,6,NA
XyTMs5TaL,3,NA
EhXM5qbH7,2,NA
7kWTMocaTI,18,NA
71_y7ic668,2,NA
Xy_AMicp68,4,NA
5dArvJe87,6,NA
KEqGYaeB,2,NA
m1bwwXlHCf,2,NA
8AaKRz8YgD,11,NA
Q1ZiYdtTpU,2,NA
Qkb2YdYTaL,6,NA
Q1gCYOF6p8,2,NA
XyAKdY6pI,2,NA
yq8pxmmaKX6,2,NA
mkjyDYTaU,6,NA
Wjq_WiDY,2,NA
P0d_NF4jkq,2,NA
X1Mq1wFaaU,3,NA
oo1cOAVuwr,6,NA
QJcxhydqCc7,5,NA
sfvFJDT0Xf0,4,NA
mJy9_FpaU,3,NA
Q1YcefV5sSC,3,NA
Q1uqez4qjHR,3,NA
719cxfEcirC,3,NA
7kA5kOcR5Q,2,NA
71vesWOqRq7,2,NA
NJfWqkTG6,2,NA
XyM3Wu5R5Q,2,NA
X1ZjXdY66U,5,NA
XyZqXOtppU,5,NA
X1gsQutpaU,5,NA
XJjQOFaTL,5,NA
mkGoXOta6I,5,NA
cjQJh62S0Ep,3,NA
zsxnk_YxwqX,3,NA
6_tUUtnBU0v,2,NA
fhdAjKOUZ2p,8,NA
V22to_3sJS0,24,NA
y_gsE0oRGdx,2,NA
X1fEIEcsHA,3,NA
mkXNLEcsBA,3,NA
PP_4jfKgUGO,3,NA
0QSso63CWCY,6,NA
7y7ngewbb2_l,2,NA
HJ5Dt4UuABV,2,NA
NdH6kSMfSZZ,6,NA
7JE2gxP__hue,2,NA
enAcvxmcPEO,2,NA
nkrYUqmo7cJ,5,NA
wOYZjoDTOrH,7,NA
GZdckDCXDUa,3,NA
Qyt0bs6aU,5,NA
AmyA__NjMvd,6,NA
xzqbjAFKsQ4,2,NA
nKXZ8EV0ZX_,3,NA
qKw3PVYcum7,15,NA
NAFX038VbcA,2,NA
xhWxuMghFJs,2,NA
tqA1013JNjG,3,NA
f4Z0COxCSUP,4,NA
shq200o5c3y,2,NA
P4Wp3EXmAmS,9,NA
enWeV4Fwd0_,8,NA
4MoKW0kB5Yf,3,NA
yo6OeyAuJtX,2,NA
m1ZH_WsT6L,2,NA
17HjHDmAWCe,4,NA
7kTxedqRqQ,13,NA
QJogx_9AcX,3,NA
DDj_SoGSDV2,9,NA
Z840Gohb,2,NA
1NAnjXrjZ,4,NA
5odgw4dnY,2,NA
ZxjYBn7_U,2,NA
VpyXnHFSwWp,4,NA
DV6ufNmVx,2,NA
0UzzXFLoJ,4,NA
MQy65sGjjvy,2,NA
VxAqOYWUpF4,4,NA
nNnufoG9Q,4,NA
iHGp8hZdJ,2,NA
EOTNy0_yOp_,2,NA
7Wke441pSBe,16,NA
ye6W7QQAx_3,2,NA
6g33E1tJH8F,2,NA
63T5Vr9p_yj,3,NA
4CUsrCoz2aP,5,NA
Pxr4sZfoX,9,NA
kvNP0rRnazm,2,NA
FKgv6rFpU,2,NA
CKjt7ffSt,4,NA
8sk29hXBRYd,4,NA
zkAKKcEoFAq,2,NA
1Ixx9D_iY,4,NA
pzbb4YMRBN9,4,NA
OgyaN2Eld,2,NA
0oARFQoahd4,2,NA
zYAhJ2M03bn,4,NA
jcvgaUObbfo,4,NA
7Kvig_l4_,2,NA
kWA9ASkJQhv,4,NA
_ZM_QknaQT1,2,NA
ndJ9kCwXo,2,NA
Gs5rvgCS_de,4,NA
bLmRXyjOl,4,NA
efbL0U6Tu,2,NA
5yo13qEGCWx,4,NA
Fs4zOrrbnhq,5,NA
v_uLuXdi7,2,NA
UejjSL6V2,2,NA
ohY3DYXd,6,NA
OPsn8yv9Heg,4,NA
JOCzbD4p0,4,NA
e4xEs9xet16,16,NA
ckUSDCYtdHa,7,NA
mwPAQsH7_Yd,5,NA
zWSYNapVVcG,3,NA
KkCM62hvrk,2,NA
mT5OuKu8eNU,4,NA
pC0THBJ8AA7,4,NA
xBbo3XnVv0F,10,NA
1d_QANAyF7M,13,NA
Sd_7k3dAuXE,7,NA
9DP8jM4mPHc,3,NA
uKb_VEvxAnO,3,NA
2ApTtnfYupX,3,NA
3NFCoOX39c7,3,NA
NAPD7ShooVQ,9,NA
m1_IPYKpaI,2,NA
vp46VkYaMBG,2,NA
UQG7jx9_W,1,NA
wqYXomMtAar,3,NA
s9RkwYtwYt0,8,NA
zPMqJaMaZDs,8,NA
Kd8b2VV26hm,8,NA
kDgMzFxjOoO,8,NA
BgKMNBecTsR,8,NA
6sGD_2AKopc,8,NA
qChvghKjssp,8,NA
cSAky8GQ99n,8,NA
VkQdOrPFzkB,8,NA
gCx9TJD2ynf,8,NA
1K8A9eQoFQZ,8,NA
NgDmbYR7AMe,8,NA
nK1KwkvYxzr,8,NA
G_AO9ow8DmD,8,NA
V2kBmnrd9MH,8,NA
enPFhQgPucn,8,NA
qO2XA41bppZ,8,NA
OxxMqvAq2Ss,8,NA
7yGavViTaI,5,NA
QJW2w4ipTL,5,NA
myenvEo6T8,5,NA
71ZTPVoppI,5,NA
XkepP4jTaL,5,NA
Qk2PEo6pL,5,NA
QJxsD4s6T8,5,NA
XkTvNoaTL,5,NA
X1waF4lBCf,2,NA
X1MpFNeHCf,2,NA
Xk7pFEerRf,2,NA
Xk8TFElHRz,3,NA
m1oaFNxBCf,3,NA
EYye6DenZ7W,4,NA
hsde8108vgq,3,NA
QxAw6DgybGO,4,NA
QynIv7xB0z,2,NA
owybi2IH7J,2,NA
hGK0CauSUwX,6,NA
ECzPe1MkNFy,4,NA
71dp0dapU,3,NA
EcwAP4O3Nx9,3,NA
76LFUHjdt,3,NA
sHmSt3Q_HE,3,NA
rYSQuyUqy4A,2,NA
QJfay_90q7,10,NA
du5cUjW7vCH,3,NA
w0fgYqWFZcH,3,NA
7y_Tyw_p6L,2,NA
fpVnmoBT_0N,3,NA
zozCoWyUkuj,2,NA
Zf0HfZChVYX,3,NA
t8qhqKreR17,3,NA
U3S62qz8fCQ,6,NA
YKmebZZNAgH,2,NA
JmqDnj6tw2W,5,NA
9swu8SYTfBm,2,NA
vJPVWAcqgmo,2,NA
B2M5N4XhNxt,6,NA
xfbSFQMCbag,2,NA
JAS6oBpZvWu,5,NA
3oufX6nhs32,2,NA
rvMqJm4hzts,4,NA
6Gqmco0JMX,3,NA
VVFjgtGHNvt,2,NA
BHS13kZEmfS,6,NA
8UeGzQ7Mhw3,6,NA
QwjkXdUEkXq,3,NA
AcS3jvwFxgp,2,NA
OGDQqD9fhzn,3,NA
7e11fQ3Mk4c,2,NA
TdqWAA1VNYD,4,NA
aKBA6kv21Wg,7,NA
Tq665gsmc,1,NA
u5nh9jEdweU,3,NA
2mvXPbyey5a,8,NA
2raJpErckRZ,3,NA
yGYxdZ5h_9E,8,NA
2a7jZWSBykn,3,NA
DhoYMRNF_JG,3,NA
MrEz9z6bhV5,3,NA
_x6Zh7RPAno,3,NA
UbZWrTv_vG_,3,NA
D_3arTQygBg,3,NA
X26gnfGFxmR,3,NA
OmQxoxO5VyS,3,NA
QmztsS0hUUk,3,NA
X_Sz0_zJ8hB,3,NA
sP0MHW_X09Q,5,NA
9cVbhAr2vdG,3,NA
v149_ut_7M9,3,NA
4EfzGeYhAxX,3,NA
DxS3d8XNdCD,3,NA
M4dzFyBa6NG,2,NA
v0TB0R2ThGM,3,NA
7khlOzeog9Z,6,NA
mJxcbBcA9Q,24,NA
X1UvINciHR,3,NA
cK4Pk8jTJbu,18,NA
hUBjBhto5uA,3,NA
XJZdOwtTpI,2,NA
m1iQe_qR9Q,2,NA
oa19AMKjyYB,3,NA
AymR7ddSBKC,4,NA
mkVQL7erAM,2,NA
74QybjACT,3,NA
7kZg_WH5CqX,3,NA
4Sa_2V6yp2,4,NA
tD162iIZ6A,4,NA
qiWyILmcdq,2,NA
bHw0pgQRJx,4,NA
qieRB4328M,2,NA
mEZgOXl7Zj,2,NA
HVnnkqrEwFA,4,NA
q2pNhPG6ODE,4,NA
osskT1TwkPD,4,NA
ws7YZE24_XH,4,NA
A2tKuwBB7K4,4,NA
Jb1DSsgXqEM,4,NA
_4Wk9uR83Gj,4,NA
cegwbj6xruQ,4,NA
MHGrQqqt57P,4,NA
po011NEDTS4,4,NA
MznbpfA5gXs,4,NA
GWSXOMx8dVJ,4,NA
YYBs9T5EgSy,4,NA
bP2pQP7WpbM,4,NA
UFBHwRNhuYu,4,NA
4w61RUjTGgR,4,NA
KxWFh2m1fQX,4,NA
vBgZrOfdDr2,4,NA
Y2UJ6z52QWX,4,NA
UuAfnfBOva7,4,NA
K4Kxs78oYzY,5,NA
