tinyId,valueMeaningCode,valueMeaningDefinition
eSi0CHNyf4,4,4
4I9lpxhgiP,4,4
i2uB3ZtNk,3,3
ej5Yjrlmz,2,2
GX1wRHn2,4,4
E76fv_J6K,6,6
gsZ_dxVjU,5,5
bnOdr3OTk,5,5
kfeMa8QTj,4,4
20XJcayt,3,3
9BVd4b1qWsa,5,1
mkHFdszoE,3,3
Bwi4wWr8Kh,8,8
Q1FmSxUlQ,5,5
71p3vt1e7,2,2
mJp8uoMjE,5,5
Qy28Osfi4,4,4
XyJDOoGj4,4,4
7JZPuiGj4,3,3
7ygv_ifjV,11,11
XylaIdifo4,5,5
7J0L_iGsN,4,4
myzw_ofjE,3,3
71EYFjGiE,5,5
Tzkt3VyyoF,2,2
QyMBSXGg7,6,6
X1OiwQGxQ,6,6
QyPvbKJeQ,5,5
QyYMKYkgQ,4,4
Q1D9bjDx7,4,4
71Rpzjvg7,4,4
FfoqseCC6Hj,4,1
iP48t74aqq,4,4
eu_qCWOuuu,4,4
ur001vxABc,6,6
NMzxYQhafk,6,6
_j9ZU2sJ1G,2,2
ARBMBA_Gde,2,2
HR4imXokQ0,5,5
ImLkJk4SuK,2,2
7kj75ca0XQ,5,5
XyEX996RXm,5,5
Q19m9qpAX7,5,5
QkvQqcp0X7,5,5
mkdm9cTR7Q,5,5
mJH7596CQm,5,5
718Q5c6RQX,5,5
XkFXc96C77,5,5
N1_Kn1vE6_,6,6
L_g_sNdqpS,5,5
PXn4QeiM0_,2,2
FRpABadhbN,12,12
ox6sibui_2,7,7
XKmiQs_Ni,2,2
mJVL6GIgm,4,4
8xhJ3GJQZ2,3,3
BI5UyX0fE,3,3
HIsnBzHIgR,2,2
z6fJdpu4tv,2,2
Bb3FulVzd,2,2
St8FTqv8aT,4,4
nEEpBEmY7A,4,4
gLv23sIF8,2,2
IbBIMp4b9T,5,5
1oM7qpT1HB,6,6
R9ev4aEST0,2,2
S0XPjGf1sf,12,12
Z2r5cqHGoX,4,4
4NPkqXsA9_,12,12
m3gfeS0MC,2,2
NQxZMO_Qh9,2,2
Z_rH68d_Vz,4,4
XpbzY58O4W,3,3
ePTsQchkL,2,2
ICCTJpupsd,2,2
mJVM5M3LBkw,2,2
j0jG4qg76s,2,2
_Vc_I51Wy,4,4
QUqS04BN_b,2,2
Kda8pdDg2,2,2
Jk1u29MIgQ,3,3
fz291VXjt_0,3,1
71_67NRkQ,4,4
G1nbQ4zyv,5,5
d9mZ9KNu2b,31,31
gf0J2AXRcp,2,2
uo7urpww,10,10
7yCeoMhLSyw,3,3
7y9qdszo4,3,3
QkDOOiGoE,3,3
QyzYOjMi4,2,2
71WYOjzs4,2,2
Q1kOusfj4,2,2
71AwuszsE,2,2
myG_ujfsE,3,3
Q175_ifo4,3,3
Xkh5dsGsN,17,17
7Jx9_oGjE,3,3
spQpxRLNl3,11,11
eC7Gv1E2Dj,6,6
X1zX9f2UHJv,3,3
mre4XLS2Y,3,3
s_dJ_U4V,3,3
Mi5wE2Vtc,3,3
th2LDHuZ,2,2
7yXdfnUS1D,3,3
QyleaP5TC7Q,5,5
7kuTvcaRm7,5,5
mk1epP56RQm,5,5
mkApDc6AQQ,5,5
m1i6w5TAQQ,5,5
QJaTwqaCm7,5,5
mJbgTvqpAmQ,5,5
XktTv5aRQX,5,5
mJ9aD9pR77,5,5
Q12TP9pCmm,5,5
GIPYPWB8V,4,4
r73_U7p6Yg,7,7
X1CjdoGoV,3,3
m1e6s_ofjE,3,3
7k_2_ozjV,5,5
Xkj2Oizi4,2,2
VwWSlBqJLA,4,4
rJRfaVqNdV,2,2
EcCvOsEjg,4,1
uO0pCN4K2JX,4,1
TL020KduA,3,3
Q1tZ8zIlX,5,5
lpKpOGulpS,10,10
wfYGClz9W,2,2
ee_jbAlo,2,2
jrWikUSxl,4,4
tbekNyZDb,3,3
vd6UVix7,3,3
bUSVDONbb,3,3
QHpohZV3kV,3,3
s0gF8dy8D,5,5
q5jP1t7I5,8,8
sMV5z6usPO,3,3
4Xdxo5mz_2,3,3
QypyXH01m,2,2
XyOosKye7,2,2
dbAoeWblrm,2,2
C_fTnyUTbW,2,2
JIDXtTMM_q,2,2
FigwivT6m,3,3
OzkN1i3iu,3,3
fqL_Zv4TGy,4,4
TvqFtpifi,15,15
cj_FFOa2wL,51,51
osjlx9M8C4,9,9
OCR5bETEQB,1,1
b__QfuHH9L,2,2
FIP0fwD73R,3,3
hzNWHeyY4Y,3,3
_y1jQr62W,3,3
Y_bpQRJAek,2,2
LnZWSTeEio,3,3
0zCAsauXTD,4,4
__hUdEDyc_,2,2
sc_rWAUJpI,4,4
k56lWQzEM6,22,22
y60LZlnNmz,12,12
UZPqRspguF,5,5
rMuVLnevW5,5,5
DucJ0wbQzs,20,20
WFRKtcKMX,4,4
JWq4lUqDCy,2,2
oy7b5KqDbb,3,3
UeltV8EdD9,6,6
8iEXVwn75,3,3
8ZGyAAvMNp,2,2
71r0f2IHyD,3,3
71pRzhUSJv,8,8
7JFRz3IH1w,2,2
u7sSQTyc7p,10,10
8C5WiGMdu,2,2
Q0tb7lDQdX,3,3
79WqpNsIw,3,3
rx_pRQVaNG,4,4
LwgcxzY0iI,3,3
NL_hwEdzMV,2,2
VgKRl8pNa_,2,2
GM7Kktb_y,2,2
VmHkE5LVfH,2,2
Sh4KzUeimo,2,2
b8L7UQILrI,2,2
rcJJIXTu9h,2,2
NRBlVG1gH3,2,2
BXHdSzGLgR,3,3
0ghusosRKQ,2,2
VHAjN_ycZ6,2,2
e4KiiOgWBf,2,2
UB05NnWb1S,3,3
Rcb8nMfvms,2,2
EChgTEkIxA,2,2
uOzPbLIOjb,2,2
FjRWGcbZN4,2,2
wEmsXpLc0,2,2
G7mm96iH2X,2,2
DkwHipuAF4,2,2
IMnHJqhvlK,2,2
9I19PDdETR,2,2
CVR90baaf,2,2
3Zsftjp2c7,2,2
12y_Ec6Kug,2,2
jpUiStSnH1,2,2
eMd0qPLzG,2,2
np2AqKjiM_,2,2
Vfo5leZ8R6,2,2
QWEnBoqgwY,2,2
GC3qi60cg,2,2
WOOssKs0hG,2,2
q8PDtOFW85,2,2
9EEXXk_6jq,2,2
jHElTbTl4I,2,2
fg8czKsfEb,2,2
UWPQaHjvDU,2,2
C3luLBTcE_,2,2
N9f3EZFC2T,2,2
hZtedQGY1O,3,3
hxXCPJrk52,3,3
vnwmNKpu0E,3,3
KXvEGZlyQ,2,2
A64B7B22Na,2,2
L0nrZODYDJ,2,2
ALgchx7JF,4,4
ZkE_zZnvB,2,2
u_TfaRIWyo,3,3
m16neKJgQ,5,5
7171YrCkX,6,6
mJlblFJx7,4,4
hYzXqK63h,5,5
QkDa1jPlm,4,4
7kSes4JeX,6,6
Qk9Ec4kxm,4,4
m1AHEHCJm,6,6
XkxbuSAJQ,6,6
Q1dhKrAk7,4,4
X1soROJxm,6,6
X1CZadJeX,6,6
Xk8XR_1em,6,6
3LknNdKKAn,3,3
my3JvFJgm,2,2
y4ozAiL2qd,4,4
pfFnrkWNaL,3,3
TQeVaJdUKk,2,2
d066kCBxJy,2,2
EaqSqCELN,3,3
hnJVneKRz8,2,2
RKahskp_pB,2,2
1x5EU82HnJ,4,4
bSnO1XgOsf,4,4
Ny8BBx9W4,2,2
KkeFxjNi5A,10,10
40nFTRc9Fc,5,5
jZv1gTu5k,5,5
7W6_TQyWup,6,6
oVtvOSYL6,3,3
Q_vMvlWHAC,2,2
F8I9ERpeD,2,2
Jlb3qn5SB,2,2
xep_dtk3IA,2,2
h5k_3GuVMx,2,2
SpTKMMynjD,2,2
ufK4dRYGp,2,2
EkmOaxe9ga,2,2
pGQPQFr6_u,2,2
9hEsxdm75Q,2,2
wG2oLcwaF,3,3
n6GIUhs9cI,3,3
xLhL4tDwhH,2,2
Y8i0_OHC23,2,2
NGUbbuWeaO,2,2
BZMVpapsDg,2,2
9s19ARD8mk,2,2
zzjIUoOX_s,2,2
WzxO0yuvuo,2,2
0BNqFgekzu,2,2
M3oewJvV_B,2,2
o6kDb1F1v3,2,2
yZ6xwy_PbB,2,2
25HwR_ydFu,2,2
0SYMAKocsl,2,2
5lsWPQg7Pp,6,6
p9UUbd9rz_,2,2
vAiWiYmPGd,2,2
m1Ir0LsDwS,2,2
g5tSqWOHsv,5,5
cOZV2KEXAg,5,5
UtvG4oWWO0,5,5
xplgRs7dyV,2,2
bYa0D8I40,2,2
P5BU307LN,2,2
36Yzzr0wih,2,2
JkUs_fi8_i,2,2
vZKnoTa5Ql,2,2
QOCsnHrI7W,5,5
yl2LwheBZ,5,5
eNtPaMzBsd,5,5
EIGF6XisKq,5,5
lY9TlqYQD,5,5
ZXgIYiaNDL,5,5
rnyHYTobRu,5,5
0l9_HE84cu,5,5
bGcSak7owu,5,5
aWIikUXm99,5,5
7jl09bFgIm,5,5
V__ZlUk3Rf,5,5
_JcMyi9YS,5,5
Bs3iar1ixH,5,5
YFM0Vy1a6s,5,5
UJDILT_RtU,5,5
YqLVD0gZvy,5,5
maHwLjcf4K,5,5
lxTa6rafU9,5,5
RS0xnwaQcA,5,5
BjWNcQMUyr,5,5
B2wAnndBdC,5,5
8_ovFQ5z_,5,5
VhiU5y0qLp,5,5
_ECZiw4yaJ,5,5
Xp9Alf5tx,5,5
hP76D5lHKU,5,5
710Ze_1unyQl,2,2
J_UcNxhG3,5,5
Q1x1hfLeQ,5,5
pKEqnvBdc8,2,2
7JvO7oyem,4,4
XyJCxQMe7,6,6
XySG4sJxX,6,6
XyvH5QfeX,7,7
7kLtEN01m,5,5
CWoUX3ZqL,4,4
5NcWL5Rkdp,5,5
ERW04TCtjB,5,5
4oBWNhsuCa,5,5
eu_K1kxDQi,5,5
PtuS4uwqm,5,5
CS_HmoPeXW,5,5
_zNy684zfa,5,5
qoW0VdBrOV,5,5
CYCDDL67EQ,5,5
SpX7_R_mrv,5,5
Hsq4kgPtRC,5,5
BBHB9X5E2f,5,5
EnrqBmVgv,5,5
_56fq9ZOD_,5,5
UXGer6Hu8,5,5
ewt9t91Ni9,5,5
GVdzkRxtH,5,5
VHZ9oejIBK,5,5
nDCp_4lwUC,5,5
E46OdXVrh6,5,5
88MhwJM_A9,5,5
_MOLX4kAk4,5,5
uZJPQC2g9x,5,5
JWZClYB8Yz,5,5
32FJaLRYQ,5,5
C4MJzbj8DW,4,4
FagzSWX4Ad,4,4
BT7A7p4WOu,3,3
_hM_DNK4tP,2,2
zzZrSb0moa,3,3
QmONgbo0N,4,4
7UCG7ErfZr,2,2
7iCNvnujzS,2,2
XQm5hRteGq,5,5
7Jff5MUgX,5,5
JDWsD11hIt,2,2
sRMYraKcIw,2,2
WIMs2ewdTG,2,2
LWpmtMWk47,5,5
q5pb6Aqy6bW,11,9
mknGEX8g7,6,6
5EjXoKyReK4,5,1
PuMMosj3uy,2,2
7JsAOsMiV,3,3
mk6kFsfiE,2,2
XyalKiMi4,3,3
XycytjfsE,3,3
st9x3eFw0As,6,1
ftzqaF7Oi,3,6
fU9NeFSuto,10,10
QkWzszLe7,5,5
ioFDLasawv,2,2
dMyhShVaYT1,8,3
HWqEJhwS5r,2,2
6cHxTQL5ah,6,6
erbacCaRMx,2,2
uJKcXZ5Fm7,5,5
A2cCX22F__,5,5
OVpPa2XxpV,2,2
fZnOm0J6SW,2,2
1DCVBkygN,5,5
X1qHzSRk7,2,2
DV7jQ54Sgs,2,2
wBjwft4l_5,2,2
qSJCBX4LoH,2,2
7yxvdzUlm,5,5
ssL7PdXhpk,4,4
ePygqCyrjV,3,3
D7jN8dkxyq,4,4
j2eNYkAsuyQ,6,2
7y2LN9ye7,11,11
m16MCG3ISJv,3,3
aFEHExnuX,4,4
QkS8Q9kxm,11,10
QkrhVgLeX,5,5
XJHENxUgQ,5,5
i_0a1MetT,1,1
vn2nq_MuXy,4,4
kYFoiC5gxn,3,3
sg5ulX10XQ,4,4
ay_ndYz9,2,2
_C37DT17aFp,20,20
X1CgtGh8BJD,5,5
hFuaD5PuUg,2,2
VOQO3bEzuSr,7,5
AxqFya2X_up,7,5
KsNybsqXo6U,7,5
XCytwx5DNyQ,7,5
Fq1wtNtqCCP,7,5
SATJUYACG45,7,5
HJMACEr39HA,7,5
aw_twAHsrBb,7,5
lWOYrDL2ga,3,3
7y2fNGLlX,4,4
XkGBBfIlQ,4,4
kXPjPEf5K,3,3
8Sh8nm3v2z,4,4
IBp1lkaDbj,3,3
dg_K_TW6u,2,2
VoARCjymGI,6,6
QJ7loM28ByD,3,3
eof2qztyH_,3,3
4ZHl9JcqRa,4,4
ShkwPhVZj,3,3
2emOATVAHz,4,4
b9kRMM7iMr,3,3
H3IxhD9K_P,3,3
6atWVsb2c,4,4
9SRh6VuZAj,3,3
2tPp2iAOk,7,7
3JxBtM6Og,2,2
_ME2oRwqV,3,3
NYKD2luIR,3,3
LJmzUEAYv,2,2
mygz5f28H1D,4,4
6wflpwTfJ,3,3
uFeOmKUf3,2,2
7cfg6T3QnI,4,4
rMNjMxBBZs,3,3
bXhx4hmgKP,6,6
YDUStvSYmW,2,2
XkI57HAkm,3,3
mkxjzn8Hyw,3,3
XkVfgmNcir0,3,1
dTYxyv5TwG,4,4
mJEzRz3IHJD,3,3
Qy_fAMhIHyP,3,3
uCq7lcMl7r,3,3
nERq99qVV7,2,2
ucNfMnY9wc,1,1
OwbnUFrmzG,2,2
QxaoR_U2MU,1,1
us514QyTwz,1,1
x5A4S6bJa2,1,1
4mAvorjpDv,4,4
kr4asnEqYv,2,2
wQSup1xIYZ,3,3
IuzIF5uxCY,3,3
5OfzFGsmFK,3,3
CvG_vse6lB,3,3
QJNo0XGlX,7,7
XyLqnQzl7,6,6
Q1q9utOeQ,6,6
71gSEKylm,2,2
mk9gCXzem,6,5
m1OSp7fgX,6,6
X1qtjQfgm,6,6
mJeV4Ydxm,6,6
mJ4hP4Ck7,5,5
myxISEAJQ,5,5
7yix_zLem,5,5
F2kfwY2evhv,18,18
obIi1I4_HP,10,10
XBq4tkS2RK,5,5
6zMYdqutgL,5,5
7JWcxHMxX,7,7
mylEB_EMlX,6,6
XJHhAVzxm,6,6
7yPuJSfxX,6,6
7ymi6EMlm,6,6
mk3ulNGxQ,6,6
XyNXZVfgQ,6,6
zJPb6JMR_n,2,2
7Jy9af8e7,4,4
ibrwcq7YF,4,4
Qk6coMUeQ,5,5
TlYp1dpIOX,2,2
iWJogDFNzb,2,2
ATxOc8p5Mv,2,2
SgeF6YfctP,2,2
gUe3emJnI5,2,2
g4iOs7PPZ,2,2
4dIBZmpYaT,2,2
oc_dRV8igK,2,2
2FQ5m6CZ2j,2,2
9dr5_wgoCq,2,2
Bv4LKk3I0s,3,3
_nK3KvQfQ,3,3
B1hanJmUKV,2,2
0dxtRrsBKo,2,2
rYKmLzMwb,2,2
0WYe_2o5zB,2,2
3Xs6TEBn9g,2,2
jbC8hQYd2u,2,2
FY1dBEWvNo,3,3
NF79GhBwdA,2,2
f2_B1yuSf,2,2
nUgGwnUReU,2,2
uZpvAndaQB,2,2
wmElYxqGV_,2,2
EaqUhAqhtS,2,2
aZjbbnFSk,2,2
HbikYLI1cK,4,4
d0E3mo9KKQ,2,2
lUgDneYpZS,10,10
RqZ9M3XGo8,2,2
9mAMyICO55,4,4
qVF42RK8W,4,4
1lG0rnwQzq,2,2
UFi6nJLzN,3,3
3obzAQtT4e,4,4
sVMOiF46uv,4,4
3_J_5WKnXp,4,4
Q1JsuJdhkme,3,3
_5FHKwpGBn,2,2
qHn2qJRXiA,4,4
Khj8At0p0B,3,3
fdHOPzh01P,2,2
oHakpj1O_b,2,2
ZwgnESEjK,2,2
Dl60WfsLj,3,3
CKl8HBZzg,3,3
9r43OptfiK,2,2
0ysQk_DI4,3,3
Lai1XWEsc,2,2
X122qQ5xQ,5,5
zWlW4e47T,4,4
QJ6vRmCyQ,5,5
mhZfYWbwj,2,2
uAN37QOn8,4,4
HbGHgZ8veF,4,4
Qs4bKGadR,4,4
bumzldhaKw,2,2
Uc_i2BSEVe,2,2
kY0RIhZmpQ,2,2
aaVUHUeLXo,5,5
7ykqHX8e7,5,5
Rvfxyns4O9,2,2
R_T__nl1ZF,3,3
71lUMooGoN,2,2
71NfFjfo4,2,2
XkkXAM3LH1D,3,3
BzXl_neddF,8,8
RwUjtVDO9l,3,3
XyupVQLlm,6,6
SaykLkX_0k,7,7
mk3d5sfjN,3,3
L2ZiOu6tUv,6,6
m1gyUYkem,4,4
LWCNGWt86,4,4
OJxh63BDlx,4,4
RoNBY8OKnZ,5,5
VjN_RPhAkA,5,5
GESd_nZZSh,15,15
Ex5a_h6iFZ,15,15
WeRem2hra,5,5
kY7ze5eU9S,5,5
5wrqKvD1Lp,5,5
f_rmkIB9bE,5,5
kYZmWgmsn,8,8
BJ_X_qM1P,3,3
_RdsN5hWzK,8,8
Q1e9wcpR77,5,5
6mwmp1nWYJ,2,2
_aNE8R6lj,6,6
yuzjSe34NP,2,2
UwE_L9T_kj,3,3
lg4fmgK7wg,6,6
1ET03Jt8kf,6,6
7kJnKy_n1Qg,5,5
QJqiYJun1mg,5,5
Q1ust1O21Qx,5,5
Q1flgF1u2Jmx,5,5
mJkelFyd21Qg,5,5
7kWgxtkdhJmg,5,5
7Jvit1O3J7g,5,5
XktsKJ_31me,5,5
QkLoKyuhJmx,5,5
XkTjty_hyQe,5,5
Xyelgtkdh1Xg,5,5
m1C1eY1u3JXg,5,5
7J3sYJdhk7g,5,5
XklhYkd3yml,5,5
X1AjFJ_2JQe,5,5
X1sjKJu3k7e,5,5
Qy73lukdnyXe,3,5
XJwCeF1OhJ7l,3,5
mkF0lKy_2Jmg,3,5
7kLCxFy_nyme,3,5
Qyrhxd1_217e,3,5
Q1N3g_k_2kQx,3,5
7k_AetJO3kmg,3,5
mJGneOkdhJQl,3,5
myjRgFJO31Xl,3,5
mkcCgF1OnJme,3,5
RO_RNax5Te,5,5
I1S48YqA3z,5,5
Xg_j_uGrz1,5,5
5l_uLMMKXq,5,5
gtrZ3ro29E,5,5
18j0iNHNmh,5,5
at3kKUvb8b,5,5
YO73o4Z5GZ,5,5
XfwF96geLC,5,5
aaxgOpx4OU,5,5
Xm4jB7boRN,5,5
kdlYxTNrN0,5,5
BLher9uPl,5,5
O313zBmfik,5,5
OAh9_IboG8,5,5
Dqa7AXW6q5,5,5
GJaPx5wu3,6,6
1ph7gEVZGI,5,5
7Jutyu31ml,5,5
Do3DXpQD53,5,5
myiKY1_3Jme,5,5
