path,literal,max_occur
definitions.*.definition,Text describing the participant's/subject's first of four major tasks or duties at the longest held occupation from the age of 36-45 years of age as part of the Risk Factor Questionnaire (RFQ) - Occupation.,6
definitions.*.definition,Text describing the participant's/subject's first of four major tasks or duties at the longest held occupation from the age of 66+ years of age as part of the Risk Factor Questionnaire (RFQ) - Occupation.,6
definitions.*.definition,Text describing the participant's/subject's first of four major tasks or duties at the longest held occupation from the age of 26-35 years of age as part of the Risk Factor Questionnaire (RFQ) - Occupation.,6
definitions.*.definition,Text describing the participant's/subject's first of four major tasks or duties at the longest held occupation from the age of 46-55 years of age as part of the Risk Factor Questionnaire (RFQ) - Occupation.,6
definitions.*.definition,Text describing the participant's/subject's first of four major tasks or duties at the longest held occupation from the age of 56-65 years of age as part of the Risk Factor Questionnaire (RFQ) - Occupation.,6
definitions.*.definition,Text describing the participant's/subject's first of four major tasks or duties at the longest held occupation from the age of 0-25 years of age as part of the Risk Factor Questionnaire (RFQ) - Occupation.,6
definitions.*.definition,Text describing the participant's/subject's longest held occupation from the age of 66+ years of age as part of the Risk Factor Questionnaire (RFQ) - Occupation.,6
definitions.*.definition,Text describing the participant's/subject's longest held occupation from the age of 56-65 years of age as part of the Risk Factor Questionnaire (RFQ) - Occupation.,6
definitions.*.definition,Text describing the participant's/subject's longest held occupation from the age of 26-35 years of age as part of the Risk Factor Questionnaire (RFQ) - Occupation.,6
definitions.*.definition,Text describing the participant's/subject's longest held occupation from the age of 36-45 years of age as part of the Risk Factor Questionnaire (RFQ) - Occupation.,6
definitions.*.definition,Text describing the participant's/subject's longest held occupation from the age of 46-55 years of age as part of the Risk Factor Questionnaire (RFQ) - Occupation.,6
definitions.*.definition,Text describing the participant's/subject's longest held occupation from the age of 0-25 years of age as part of the Risk Factor Questionnaire (RFQ) - Occupation.,6
definitions.*.definition,Text describing the participant's/subject's second of four major tasks or duties at the longest held occupation from the age of 36-45 years of age as part of the Risk Factor Questionnaire (RFQ) - Occupation.,5
definitions.*.definition,Text describing the participant's/subject's second of four major tasks or duties at the longest held occupation from the age of 46-55 years of age as part of the Risk Factor Questionnaire (RFQ) - Occupation.,5
definitions.*.definition,Text describing the participant's/subject's second of four major tasks or duties at the longest held occupation from the age of 56-65 years of age as part of the Risk Factor Questionnaire (RFQ) - Occupation.,5
definitions.*.definition,Text describing the participant's/subject's second of four major tasks or duties at the longest held occupation from the age of 66+ years of age as part of the Risk Factor Questionnaire (RFQ) - Occupation.,5
definitions.*.definition,Text describing the participant's/subject's second of four major tasks or duties at the longest held occupation from the age of 0-25 years of age as part of the Risk Factor Questionnaire (RFQ) - Occupation.,5
definitions.*.definition,Value of the points scored for story recall stories 7–8 as part of the Woodcock Johnson III (WJ-III) tests of achievement.,5
definitions.*.definition,Value of the points scored for story recall stories 1–2 as part of the Woodcock Johnson III (WJ-III) tests of achievement.,5
definitions.*.definition,Value of the points scored for story recall stories 9–10 as part of the Woodcock Johnson III (WJ-III) tests of achievement.,5
definitions.*.definition,Value of the points scored for story recall stories 3–4 as part of the Woodcock Johnson III (WJ-III) tests of achievement.,5
definitions.*.definition,Value of the points scored for story recall stories 5–6 as part of the Woodcock Johnson III (WJ-III) tests of achievement.,5
definitions.*.definition,Value of the points scored for story recall–delayed stories 5–6 as part of the Woodcock Johnson III (WJ-III) tests of achievement.,5
definitions.*.definition,Value of the points scored for story recall–delayed stories 9–10 as part of the Woodcock Johnson III (WJ-III) tests of achievement.,5
definitions.*.definition,Value of the points scored for story recall–delayed stories 1–2 as part of the Woodcock Johnson III (WJ-III) tests of achievement.,5
definitions.*.definition,Value of the points scored for story recall–delayed stories 3–4 as part of the Woodcock Johnson III (WJ-III) tests of achievement.,5
definitions.*.definition,Value of the points scored for story recall–delayed stories 7–8 as part of the Woodcock Johnson III (WJ-III) tests of achievement.,5
definitions.*.definition,Value of the points scored in writing samples items 19–30 as part of the Woodcock Johnson III (WJ-III) tests of achievement.,5
definitions.*.definition,Value of the points scored in writing samples items 7–18 as part of the Woodcock Johnson III (WJ-III) tests of achievement.,5
definitions.*.definition,Value of the points scored in writing samples items 13–24 as part of the Woodcock Johnson III (WJ-III) tests of achievement.,5
definitions.*.definition,Value of the points scored in writing samples items 1–12 as part of the Woodcock Johnson III (WJ-III) tests of achievement.,5
definitions.*.definition,Value of the points scored in writing samples items 1–6 as part of the Woodcock Johnson III (WJ-III) tests of achievement.,5
definitions.*.definition,"Other than the seizure[s] you had because of a high fever, Have you ever had, or has anyone ever told you that you had, any of the following...",4
definitions.*.definition,Text describing the participant's/subject's fourth of four major tasks or duties at the longest held occupation from the age of 0-25 years of age as part of the Risk Factor Questionnaire (RFQ) - Occupation.,4
definitions.*.definition,Text describing the participant's/subject's fourth of four major tasks or duties at the longest held occupation from the age of 26-35 years of age as part of the Risk Factor Questionnaire (RFQ) - Occupation.,4
definitions.*.definition,Text describing the participant's/subject's fourth of four major tasks or duties at the longest held occupation from the age of 36-45 years of age as part of the Risk Factor Questionnaire (RFQ) - Occupation.,4
definitions.*.definition,Text describing the participant's/subject's fourth of four major tasks or duties at the longest held occupation from the age of 56-65 years of age as part of the Risk Factor Questionnaire (RFQ) - Occupation.,4
definitions.*.definition,"Status of whether total annual pre-tax income from all sources of all family members living in the same household is equal to/greater than or less than 50,000 USD.",4
definitions.*.definition,"Status of whether total annual pre-tax income from all sources of all family members living in the same household is equal to/greater than or less than 75,000 USD.",4
definitions.*.definition,"Status of whether total annual pre-tax income from all sources of all family members living in the same household is equal to/greater than or less than 100,000 USD.",4
definitions.*.definition,"Status of whether total annual pre-tax income from all sources of all family members living in the same household is equal to/greater than or less than 35,000 USD.",4
