tinyId,permissibleValue,valueMeaningDefinition,conceptId,conceptSource,valueMeaningName,codeSystemName,valueMeaningCode,codeSystemVersion
_W4xHINn6,17,17,17,17,NA,NA,NA,NA
_WgNHHiF50,2,2,2,2,NA,NA,NA,NA
_x6Zh7RPAno,3,3,NA,NA,3,NA,NA,NA
_Xiqwu3uOY,8,NA,NA,NA,8,NA,NA,NA
_XUSM4RHUWR,18,18,NA,NA,18,NA,NA,NA
_XyvHOXOQ_,2,NA,NA,NA,2,NA,NA,NA
_y1jQr62W,3,NA,NA,NA,3,NA,NA,NA
_y5ruvEf9TF,2,2,NA,NA,2,NA,NA,NA
_yDh8w1LLu,2,NA,NA,NA,2,NA,NA,NA
_ydY7esqabN,5,5,NA,NA,5,NA,NA,NA
_YlZZWHAgu,2,NA,NA,NA,2,NA,NA,NA
_yqFGGKnH0,5,NA,NA,NA,5,NA,NA,NA
_YRjLknS1_,4,NA,NA,NA,4,NA,NA,NA
_Z39fagd,2,2,NA,NA,2,NA,NA,NA
_z9kpq7wO,2,NA,NA,NA,2,NA,NA,NA
_ZM_QknaQT1,2,2,NA,NA,2,NA,NA,NA
_zNy684zfa,5,NA,NA,NA,5,NA,NA,NA
_zUDDhhv2TR,2,2,NA,NA,2,NA,NA,NA
0_ZktSw0PUC,3,3,NA,NA,3,NA,NA,NA
00bW3SYbdj,6,NA,NA,NA,6,6,6,NA
00KpESPRf3,2,NA,NA,NA,2,NA,NA,NA
01CDg12jFaK,5,5,NA,NA,5,NA,NA,NA
01Qrh7CRhk,2,NA,NA,NA,2,NA,NA,NA
02OpnuBkB,21,21,NA,NA,21,NA,NA,NA
03UmDCNQ4x7,5,5,NA,NA,5,NA,NA,NA
03zKukgmV1M,8,8,NA,NA,8,NA,NA,NA
04F6fmBkZ3M,5,5,NA,NA,5,NA,NA,NA
04oFyKFOM,7,7,NA,NA,7,NA,NA,NA
05EUviT_E,5,NA,NA,NA,5,5,5,NA
064O2_2GHnm,5,5,NA,NA,5,NA,NA,NA
06ArFWmaU7E,5,5,NA,NA,5,NA,NA,NA
06Q8NPzC8uu,2,2,NA,NA,2,NA,NA,NA
06qxf6gbx,2,2,NA,NA,2,NA,NA,NA
06vB2Vfqy_0,4,4,NA,NA,4,NA,NA,NA
06YDPmbNa,3,NA,NA,NA,3,NA,NA,NA
089BOCdMF2K,3,3,NA,NA,3,NA,NA,NA
09ATzG7jyhq,11,11,NA,NA,11,NA,NA,NA
09n5dq7jK4A,5,5,NA,NA,5,NA,NA,NA
09uaNSKh42q,4,4,NA,NA,4,NA,NA,NA
09uykYZGL,4,4,NA,NA,4,NA,NA,NA
0A02oYHOtYj,2,2,NA,NA,2,NA,NA,NA
0a4z8t2uH1t,6,6,NA,NA,6,NA,NA,NA
0AS3WDnucdw,2,2,NA,NA,2,NA,NA,NA
0AVpTCq297f,3,3,NA,NA,3,NA,NA,NA
0BBApEoQ7mF,1,1,NA,NA,1,NA,NA,NA
0BHiDu2Y7u,5,NA,NA,NA,5,NA,NA,NA
0BNqFgekzu,2,NA,NA,NA,2,NA,NA,NA
0BTNR1URuw7,5,5,NA,NA,5,NA,NA,NA
0bvJAfaf5Fr,5,5,NA,NA,5,NA,NA,NA
0c25ju_6c,2,2,NA,NA,2,NA,NA,NA
0cotEknWONN,5,5,NA,NA,5,NA,NA,NA
0CUccJYbFCU,3,3,NA,NA,3,NA,NA,NA
0cZynMCjbRX,3,3,NA,NA,3,NA,NA,NA
0DbQ2s0EoAt,3,3,NA,NA,3,NA,NA,NA
0dM24gZmAEr,4,4,NA,NA,4,NA,NA,NA
0DVwbP1CK9T,5,5,NA,NA,5,NA,NA,NA
0dxtRrsBKo,2,NA,NA,NA,2,NA,NA,NA
0ErpvbxBDky,2,2,NA,NA,2,NA,NA,NA
0FqL_Ie68k,2,NA,NA,NA,2,NA,NA,NA
0g2atyWwwv,2,2,NA,NA,2,NA,NA,NA
0gAuApSNaRa,2,2,NA,NA,2,NA,NA,NA
0ghusosRKQ,2,NA,NA,NA,2,NA,NA,NA
0GSy2_Qy,4,4,NA,NA,4,NA,NA,NA
0gt2q5irE,2,2,NA,NA,2,NA,NA,NA
0He3CqPMHT4,2,2,NA,NA,2,NA,NA,NA
0hr_u8r4O2Y,5,5,NA,NA,5,NA,NA,NA
0Ij4dDCdLb,10,NA,NA,NA,10,NA,NA,NA
0j1MSM_mOjH,5,5,NA,NA,5,NA,NA,NA
0jmdee4Rmx,5,NA,NA,NA,5,NA,NA,NA
0jstPwdUc,5,NA,NA,NA,5,5,5,NA
0JWR86KtUtM,11,10,NA,NA,10,NA,NA,NA
0l9_HE84cu,5,NA,NA,NA,5,NA,NA,NA
0LzJMgSBWo,11,NA,NA,NA,11,NA,NA,NA
0md12WGtZXE,7,7,7,7,7,NA,NA,NA
0MK1BGAZhI,2,NA,NA,NA,2,NA,NA,NA
0mSvb9DQW,3,3,NA,NA,3,NA,NA,NA
0n_XkYNYOp5,2,2,NA,NA,2,NA,NA,NA
0NBvVpMneY,4,NA,NA,NA,4,NA,NA,NA
0nnSMAbwD,5,NA,NA,NA,5,NA,NA,NA
0oARFQoahd4,2,2,NA,NA,2,NA,NA,NA
0Oqfxq01v1k,2,2,NA,NA,2,NA,NA,NA
0pR5YUN7sz4,2,2,NA,NA,2,NA,NA,NA
0QEHKBaNM4k,5,5,NA,NA,5,NA,NA,NA
0qFuZB5Ap3u,5,5,NA,NA,5,NA,NA,NA
0qPtifJL8i,3,NA,NA,NA,3,NA,NA,NA
0QSso63CWCY,6,6,NA,NA,6,NA,NA,NA
0qV7RqOkCj,4,4,NA,NA,4,NA,NA,NA
0r0CcKt1HEW,2,2,NA,NA,2,NA,NA,NA
0rACX9J2psN,5,5,NA,NA,5,NA,NA,NA
0rbgyYnCV,2,NA,NA,NA,2,NA,NA,NA
0RQwnGTwW,3,3,NA,NA,3,NA,NA,NA
0S4B0iiuIf,4,4,NA,NA,4,NA,NA,NA
0sH8H9Xyqmz,7,7,NA,NA,7,NA,NA,NA
0SYMAKocsl,2,NA,NA,NA,2,NA,NA,NA
0UhPtGR4wPJ,5,5,NA,NA,5,NA,NA,NA
0UkZVpHV8ud,5,5,NA,NA,5,NA,NA,NA
0Upkbn4o4GU,1,1,NA,NA,1,NA,NA,NA
0UzzXFLoJ,4,4,NA,NA,4,NA,NA,NA
0vrnPMOx9u,3,NA,NA,NA,3,NA,NA,NA
0VvlZJnnD8,5,NA,NA,NA,5,NA,NA,NA
0vWOs4oTGQ,3,NA,NA,NA,3,NA,NA,NA
0wD9Hh9ndDM,3,3,NA,NA,3,NA,NA,NA
0wW_TrtwPcJ,2,2,NA,NA,2,NA,NA,NA
0WXwdRJDjG0,3,3,NA,NA,3,NA,NA,NA
0WYe_2o5zB,2,NA,NA,NA,2,NA,NA,NA
0WyXo4OPKBr,4,NA,NA,NA,4,NA,NA,NA
0x008ekd7Wm,2,2,NA,NA,2,NA,NA,NA
0x4tKh_i,2,2,NA,NA,2,NA,NA,NA
0x8eUA7Hk8,5,NA,NA,NA,5,NA,NA,NA
0xAn_Em_f,2,NA,NA,NA,2,2,2,NA
0xPSrsSzx3,5,NA,NA,NA,5,NA,NA,NA
0xxakq_KT2Y,9,9,NA,NA,9,NA,NA,NA
0ydJ4POjs6q,3,3,NA,NA,3,NA,NA,NA
0ygtyUBUFI,5,NA,NA,NA,5,NA,NA,NA
0ysQk_DI4,3,NA,NA,NA,3,NA,NA,NA
0yvAQ3QAnwO,3,3,NA,NA,3,NA,NA,NA
0YVtND23cwX,2,2,NA,NA,2,NA,NA,NA
0Z_HC_dXCst,2,2,NA,NA,2,NA,NA,NA
0z7ebFyqN2N,3,3,NA,NA,3,NA,NA,NA
0zCAsauXTD,4,NA,NA,NA,4,NA,NA,NA
0ZXXHxRWDCP,4,4,NA,NA,4,NA,NA,NA
0zYSORkeUAN,2,2,NA,NA,2,NA,NA,NA
1_vBA0m5wOC,5,5,NA,NA,5,NA,NA,NA
10HHpb8gu,3,3,NA,NA,3,NA,NA,NA
10kxFcrR5wA,2,2,NA,NA,2,NA,NA,NA
10STvZr67Zh,4,4,NA,NA,4,NA,NA,NA
12y_Ec6Kug,2,NA,NA,NA,2,NA,NA,NA
13R9zHcASMs,4,4,NA,NA,4,NA,NA,NA
13YfCcFqSph,2,2,NA,NA,2,NA,NA,NA
14cFPF2Nb8,5,NA,NA,NA,5,NA,NA,NA
15P78YGg,7,7,NA,NA,7,NA,NA,NA
16ayzAzhURE,5,5,NA,NA,5,NA,NA,NA
16CT7kVUnXn,7,7,NA,NA,7,NA,NA,NA
16FKjtxnnN_,2,2,NA,NA,2,NA,NA,NA
17HjHDmAWCe,4,4,NA,NA,4,NA,NA,NA
17o4qMGbA2_,3,3,NA,NA,3,NA,NA,NA
180O8ZKgZ,105,NA,NA,NA,105,NA,NA,NA
18H8RUhdxXV,3,3,NA,NA,3,NA,NA,NA
18j0iNHNmh,5,NA,NA,NA,5,NA,NA,NA
18YMUjKKfrn,3,3,NA,NA,3,NA,NA,NA
19EAVkWc4TY,12,12,NA,NA,12,NA,NA,NA
19TW_pDmg3,2,NA,NA,NA,2,NA,NA,NA
1AlJTm_XAk,2,NA,NA,NA,2,NA,NA,NA
1ArCbtvfa,6,NA,NA,NA,6,NA,NA,NA
1aRWYL_OgK,5,NA,NA,NA,5,NA,NA,NA
1Ax1uyh_gjq,3,3,NA,NA,3,NA,NA,NA
1AZBUsCrd3q,3,3,NA,NA,3,NA,NA,NA
1B6XkZ26wv,9,NA,NA,NA,9,NA,NA,NA
1BERzze7UVQ,7,7,NA,NA,7,NA,NA,NA
1bkcsmj6rSB,4,4,NA,NA,4,NA,NA,NA
1BmkHae4Ywn,3,3,NA,NA,3,NA,NA,NA
1BuS1aiYH,28,28,NA,NA,28,NA,NA,NA
1BwgZamVwx5,2,2,NA,NA,2,NA,NA,NA
1C4Z8JAHEuS,5,5,NA,NA,5,NA,NA,NA
1c5Pzy0Wb9,24,24,NA,NA,24,NA,NA,NA
1CfNBoE4nV3,2,2,NA,NA,2,NA,NA,NA
1cQoXxfUF,3,NA,NA,NA,3,NA,NA,NA
1d_QANAyF7M,13,13,NA,NA,13,NA,NA,NA
1DCVBkygN,5,NA,NA,NA,5,NA,NA,NA
1DHg7_uX0k0,5,5,NA,NA,5,NA,NA,NA
1dwXAuhvz,3,NA,NA,NA,3,NA,NA,NA
1e1tC_T3rW,4,NA,NA,NA,4,NA,NA,NA
1E73aQeDIf,5,NA,NA,NA,5,NA,NA,NA
1EdXZbS8q5Y,5,5,NA,NA,5,NA,NA,NA
1EFEnEJZY_R,5,5,NA,NA,5,NA,NA,NA
1ET03Jt8kf,6,NA,NA,NA,6,NA,NA,NA
1F_rkZ588GA,5,5,NA,NA,5,NA,NA,NA
1f6FUH2HY9w,2,2,NA,NA,2,NA,NA,NA
1Ff4qmrHH1C,7,7,NA,NA,7,NA,NA,NA
1FWt1RpZ90X,2,2,NA,NA,2,NA,NA,NA
1FxN4_JFTb,5,NA,NA,NA,5,NA,NA,NA
1G55XlKgfA,5,NA,NA,NA,5,NA,NA,NA
1H02k_dV_U7,2,2,NA,NA,2,NA,NA,NA
1HzSQq4XKoW,5,5,NA,NA,5,NA,NA,NA
1Iwwd7yPP,3,NA,NA,NA,3,NA,NA,NA
1Ixx9D_iY,4,4,NA,NA,4,NA,NA,NA
1J1e_sWICa,2,NA,NA,NA,2,NA,NA,NA
1JQMxiLIeo,3,3,3,3,NA,3,3,NA
1jVAfJ_hjG,5,NA,NA,NA,5,NA,NA,NA
1jwk3IIkoe,2,2,NA,NA,2,NA,NA,NA
1K6JR_ovz8O,2,2,NA,NA,2,NA,NA,NA
1K8A9eQoFQZ,8,8,NA,NA,8,NA,NA,NA
1KfH37TeOEQ,4,4,NA,NA,4,NA,NA,NA
1kjAzwMhnVn,5,5,NA,NA,5,NA,NA,NA
1L2WVRZgBt,5,NA,NA,NA,5,NA,NA,NA
1lG0rnwQzq,2,NA,NA,NA,2,NA,NA,NA
1lRbTWjvN0,2,NA,NA,NA,2,2,2,NA
1m3_BEZoQaq,5,5,NA,NA,5,NA,NA,NA
1moOZeUSKb6,2,2,NA,NA,2,NA,NA,NA
1mVu96itY,4,NA,NA,NA,4,NA,NA,NA
1NAnjXrjZ,4,4,NA,NA,4,NA,NA,NA
1NGbVpWKwtC,2,2,NA,NA,2,NA,NA,NA
1nJ8wpWwV,3,3,3,3,NA,3,3,NA
1nJAQxmDraW,22,22,NA,NA,22,NA,NA,NA
1o71k_08C7A,4,4,NA,NA,4,NA,NA,NA
1oEEno363Zy,8,8,NA,NA,8,NA,NA,NA
1oM7qpT1HB,6,NA,NA,NA,6,NA,NA,NA
1pEn4TOKBO,2,NA,NA,NA,2,NA,NA,NA
1ph7gEVZGI,5,NA,NA,NA,5,NA,NA,NA
1pS6225mX,5,NA,NA,NA,5,NA,NA,NA
1Q7P0vE7Bl,2,2,NA,NA,2,NA,NA,NA
1QEtnd2wE_F,5,5,NA,NA,5,NA,NA,NA
1qLf17arx,2,NA,NA,NA,2,2,2,NA
1qqxXmkQ2O9,2,2,NA,NA,2,NA,NA,NA
1RbZoPpXib,4,NA,NA,NA,4,NA,NA,NA
1rcZgo6dWx7,5,5,NA,NA,5,NA,NA,NA
1RMCTE8g_Gv,4,4,NA,NA,4,NA,NA,NA
1srw3FwPFwK,5,5,NA,NA,5,NA,NA,NA
1svbKRfQGYB,7,7,NA,NA,7,NA,NA,NA
1sZZRRHv_,5,NA,NA,NA,5,NA,NA,NA
1T_bRAcuDKj,5,5,NA,NA,5,NA,NA,NA
1TU4su0GewD,2,2,NA,NA,2,NA,NA,NA
1TZZ_3fV0,23,NA,NA,NA,23,23,23,NA
1ueqPUgEVOZ,4,4,NA,NA,4,NA,NA,NA
1UTCaD9fAmy,3,3,NA,NA,3,NA,NA,NA
1utMj3sZzmc,5,5,NA,NA,5,NA,NA,NA
1V7UHhUZpAF,9,9,NA,NA,9,NA,NA,NA
1W1_UAId1,3,3,NA,NA,3,NA,NA,NA
1Wd849ONU81,11,11,NA,NA,11,NA,NA,NA
1WLAQb8IQh,2,NA,NA,NA,2,NA,NA,NA
1wT6umOVfqb,5,5,NA,NA,5,NA,NA,NA
1x1wqG3xFGg,7,7,NA,NA,7,NA,NA,NA
1X1XYD2e697,3,3,NA,NA,3,NA,NA,NA
1x5EU82HnJ,4,NA,NA,NA,4,NA,NA,NA
1x809rKoGJr,2,2,NA,NA,2,NA,NA,NA
1xIgpkzCTw,6,NA,NA,NA,6,NA,NA,NA
1XyyCh0utzN,5,5,NA,NA,5,NA,NA,NA
1Y2Tsj8QZ6_,4,4,NA,NA,4,NA,NA,NA
1yJaYzVtsV1,9,9,NA,NA,9,NA,NA,NA
1YkaZZ_GcdM,11,11,NA,NA,11,NA,NA,NA
1yN_3FR9aAp,5,5,NA,NA,5,NA,NA,NA
1YV5I_Zd75,5,NA,NA,NA,5,NA,NA,NA
1yYBKBHaZ_g,5,5,NA,NA,5,NA,NA,NA
1z15VxEKweT,2,2,NA,NA,2,NA,NA,NA
1zjgayvngVQ,2,2,NA,NA,2,NA,NA,NA
2_6aD04ZNZ,5,NA,NA,NA,5,NA,NA,NA
2_BwsZGQc6,2,NA,NA,NA,2,NA,NA,NA
2_fGAEtNnPd,5,5,NA,NA,5,NA,NA,NA
2_jAZ0M5o6B,3,3,NA,NA,3,NA,NA,NA
20EOMfAXRXD,2,2,NA,NA,2,NA,NA,NA
20XJcayt,3,NA,NA,NA,3,NA,NA,NA
20ZGNmUZqA2,6,6,NA,NA,6,NA,NA,NA
21PPBvzYJy,3,3,NA,NA,3,NA,NA,NA
21xpgL_pw,3,3,NA,NA,3,NA,NA,NA
224u90v7yK,5,NA,NA,NA,5,NA,NA,NA
22c0vHbDR2j,5,5,NA,NA,5,NA,NA,NA
22w4_FmWde,4,NA,NA,NA,4,NA,NA,NA
23hGdGBS75x,2,2,NA,NA,2,NA,NA,NA
23ZvM_vOp4U,2,2,NA,NA,2,NA,NA,NA
24a_QZ9rVt,2,NA,NA,NA,2,NA,NA,NA
25HwR_ydFu,2,NA,NA,NA,2,NA,NA,NA
25oWK6vHGe0,4,4,NA,NA,4,NA,NA,NA
26hFaqqaHE,5,NA,NA,NA,5,NA,NA,NA
29vMOZVyY7T,3,3,NA,NA,3,NA,NA,NA
29xQzNtbBa0,6,6,NA,NA,6,NA,NA,NA
29Y6qpxrr,5,NA,NA,NA,5,NA,NA,NA
2a7jZWSBykn,3,3,NA,NA,3,NA,NA,NA
2AAxsrcJUJU,5,5,NA,NA,5,NA,NA,NA
2ABg_stbS2P,7,7,NA,NA,7,NA,NA,NA
2ACIV1jtOM,5,NA,NA,NA,5,NA,NA,NA
2ad0HZUhnAH,2,2,NA,NA,2,NA,NA,NA
2AErsVJtks,5,NA,NA,NA,5,NA,NA,NA
2ApsgZysZUP,5,5,NA,NA,5,NA,NA,NA
2ApTtnfYupX,3,3,NA,NA,3,NA,NA,NA
2BvX0Ot6EMG,6,6,NA,NA,6,NA,NA,NA
2c574jIG8,2,2,NA,NA,2,NA,NA,NA
2cEDOsgucED,3,3,NA,NA,3,NA,NA,NA
2cKFGYoBTt6,3,3,NA,NA,3,NA,NA,NA
2cTZQcQmfr0,2,2,NA,NA,2,NA,NA,NA
2dnhHyfPjP1,3,3,NA,NA,3,NA,NA,NA
2dSM_RfktaJ,29,29,NA,NA,29,NA,NA,NA
2DTtYAq8fjP,23,23,NA,NA,23,NA,NA,NA
2dV_9bk8JNh,5,5,NA,NA,5,NA,NA,NA
2dwt8L3Za,5,NA,NA,NA,5,NA,NA,NA
2DxDQ7mdVPY,2,2,NA,NA,2,NA,NA,NA
2dyYtsn9,2,2,NA,NA,2,NA,NA,NA
2e4AsfVMUQV,4,4,NA,NA,4,NA,NA,NA
2EFQue31aM,7,NA,NA,NA,7,NA,NA,NA
2emOATVAHz,4,NA,NA,NA,4,NA,NA,NA
2eV9E74pmsg,7,7,NA,NA,7,NA,NA,NA
2EVG7JawA4X,6,6,NA,NA,6,NA,NA,NA
2EZNe2RQT6M,2,2,NA,NA,2,NA,NA,NA
2FC0b2fGMW4,3,3,NA,NA,3,NA,NA,NA
2FcEAfDhNPr,3,3,NA,NA,3,NA,NA,NA
2fhvAWkmA,5,NA,NA,NA,5,5,5,NA
2FQ5m6CZ2j,2,NA,NA,NA,2,NA,NA,NA
2g2xRNAAfHD,4,4,NA,NA,4,NA,NA,NA
2GgtEUUukyM,5,5,NA,NA,5,NA,NA,NA
2GRnfvkN_TP,3,3,NA,NA,3,NA,NA,NA
2GV4N3YYmT,2,NA,NA,NA,2,2,2,NA
2h4TWHrV110,5,5,NA,NA,5,NA,NA,NA
2hc3f6epAyd,7,7,NA,NA,7,NA,NA,NA
2hn0i82V5k,5,NA,NA,NA,5,NA,NA,NA
